event_id,rank,compute_type,start_time_ms,end_time_ms,duration_ms,layer_id,flop_count,tflops,memory_accessed_bytes,pipeline_stage,dp_group,tp_rank
embed_fwd_l-1_r0,0,embedding,0.0,0.06525533133192649,0.06525533133192649,-1,33554432,3.3554432e-05,136478720,0,0,0
embed_fwd_l-1_r1,1,embedding,0.0,0.06525533133192649,0.06525533133192649,-1,33554432,3.3554432e-05,136478720,0,0,1
embed_fwd_l-1_r2,2,embedding,0.0,0.06525533133192649,0.06525533133192649,-1,33554432,3.3554432e-05,136478720,0,0,2
embed_fwd_l-1_r3,3,embedding,0.0,0.06525533133192649,0.06525533133192649,-1,33554432,3.3554432e-05,136478720,0,0,3
fwd_l0_r0,0,forward,0.06525533133192649,3.3668049385210286,3.3015496071891017,0,412316860416,0.412316860416,335544320,0,0,0
fwd_l0_r1,1,forward,0.06525533133192649,3.3668049385210286,3.3015496071891017,0,412316860416,0.412316860416,335544320,0,0,1
fwd_l0_r2,2,forward,0.06525533133192649,3.3668049385210286,3.3015496071891017,0,412316860416,0.412316860416,335544320,0,0,2
fwd_l0_r3,3,forward,0.06525533133192649,3.3668049385210286,3.3015496071891017,0,412316860416,0.412316860416,335544320,0,0,3
fwd_l1_r0,0,forward,3.3668049385210286,6.562641575017971,3.1958366364969426,1,412316860416,0.412316860416,335544320,0,0,0
fwd_l1_r1,1,forward,3.3668049385210286,6.562641575017971,3.1958366364969426,1,412316860416,0.412316860416,335544320,0,0,1
fwd_l1_r2,2,forward,3.3668049385210286,6.562641575017971,3.1958366364969426,1,412316860416,0.412316860416,335544320,0,0,2
fwd_l1_r3,3,forward,3.3668049385210286,6.562641575017971,3.1958366364969426,1,412316860416,0.412316860416,335544320,0,0,3
fwd_l2_r0,0,forward,6.562641575017971,10.011918973649829,3.449277398631858,2,412316860416,0.412316860416,335544320,0,0,0
fwd_l2_r1,1,forward,6.562641575017971,10.011918973649829,3.449277398631858,2,412316860416,0.412316860416,335544320,0,0,1
fwd_l2_r2,2,forward,6.562641575017971,10.011918973649829,3.449277398631858,2,412316860416,0.412316860416,335544320,0,0,2
fwd_l2_r3,3,forward,6.562641575017971,10.011918973649829,3.449277398631858,2,412316860416,0.412316860416,335544320,0,0,3
fwd_l3_r0,0,forward,10.011918973649829,13.282118996647396,3.2702000229975665,3,412316860416,0.412316860416,335544320,0,0,0
fwd_l3_r1,1,forward,10.011918973649829,13.282118996647396,3.2702000229975665,3,412316860416,0.412316860416,335544320,0,0,1
fwd_l3_r2,2,forward,10.011918973649829,13.282118996647396,3.2702000229975665,3,412316860416,0.412316860416,335544320,0,0,2
fwd_l3_r3,3,forward,10.011918973649829,13.282118996647396,3.2702000229975665,3,412316860416,0.412316860416,335544320,0,0,3
fwd_l4_r0,0,forward,13.282118996647396,16.75061493331412,3.4684959366667254,4,412316860416,0.412316860416,335544320,0,0,0
fwd_l4_r1,1,forward,13.282118996647396,16.75061493331412,3.4684959366667254,4,412316860416,0.412316860416,335544320,0,0,1
fwd_l4_r2,2,forward,13.282118996647396,16.75061493331412,3.4684959366667254,4,412316860416,0.412316860416,335544320,0,0,2
fwd_l4_r3,3,forward,13.282118996647396,16.75061493331412,3.4684959366667254,4,412316860416,0.412316860416,335544320,0,0,3
fwd_l5_r0,0,forward,16.75061493331412,19.929554118064644,3.1789391847505226,5,412316860416,0.412316860416,335544320,0,0,0
fwd_l5_r1,1,forward,16.75061493331412,19.929554118064644,3.1789391847505226,5,412316860416,0.412316860416,335544320,0,0,1
